filepath,sha256_hash,last_checked
C:\Users\BUYPC COMPUTERS\Documents\sucess\succes1 - Copy.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2026-07-16T11:36:32.022992+00:00
C:\Users\BUYPC COMPUTERS\Documents\sucess\succes1.txt,2e33d1c2ed96e42e1eed1f2cf69e57bb6e54069ddf51867a2bb17a9b31748e62,2026-07-16T11:36:32.027380+00:00
